q_m	xn_p,	xn_he3,	xn_he4,	xn_b11,	xn_c12,	xn_c13,	xn_n13,	xn_n14,	xn_n15,	xn_o15,	xn_o16,	xn_o17,	xn_f18,	xn_ne19,	xn_ne20,	xn_ne21,	xn_ne22,	xn_na22,	xn_na23,	xn_mg23,	xn_mg24,	xn_mg25,	xn_mg26,	xn_al25,	xn_al26,	xn_al27,	xn_si28,	xn_si29,	xn_si30,	xn_p29,	xn_p30,	xn_p31,	xn_s31,	xn_s32,	xn_s33,	xn_cl33,	xn_cl34,	xn_cl35,	xn_ar36,	xn_ar37,	xn_ar38,	xn_ar39,	xn_k39,	xn_ca40,	xn_sc43,	xn_ti44,	xn_v47,	xn_cr48,	xn_mn51,	xn_fe52,	xn_fe54,	xn_co55,	xn_fe56,	xn_co56,	xn_cr56,	xn_ni56,	xn_ni58,	xn_ni59
0.0	0.0002664277595627817	0.0	0.010536188982709704	1.98616859674062e-19	0.2590516695748862	4.366873592833791e-08	5.550175090891947e-05	2.9073300952289585e-07	3.90800609358681e-09	1.8182996970160996e-07	0.2184732596414769	2.7780203954411607e-09	2.4818195959272376e-09	4.277605892980282e-09	0.06622392189132398	3.4878550942762936e-08	2.538004095835037e-09	6.35653438956868e-08	3.3032480945792415e-06	3.3511238945006753e-06	0.018917006968956457	6.839467288776168e-06	4.841254392055314e-07	1.9447793968085415e-05	6.264053989720444e-06	2.3992837960626824e-05	0.01149060498114347	2.2100858963731633e-05	1.7885625970648995e-06	5.23233169141354e-05	5.677443290683095e-06	7.177105588222091e-06	5.405309391129677e-06	0.005776530190520489	1.6567238972812515e-05	3.748309793848878e-05	8.103895486701193e-06	1.1591807980977393e-07	0.0013715609977492152	7.796610787205457e-07	3.979261893469876e-10	4.982882591822895e-13	1.189500098047984e-07	0.0015344086974819757	7.697825087367569e-12	1.1833964980580003e-05	2.1410979964863752e-10	6.024035590114323e-05	7.550113287609971e-10	0.0008955040385304433	2.1255544965118825e-06	1.5609181974384726e-09	0.0	0.0	0.0	0.3967634893488957	0.007894879487044195	0.0004528882092567928
0.001030878251565226	0.00025281504145072695	0.0	0.01030151505911312	2.084442211961142e-19	0.2674125415344917	4.351303324969056e-08	5.5558302318809864e-05	2.9708119170473913e-07	4.023176423086168e-09	1.8623387106866465e-07	0.22533055129301288	2.8502398163555133e-09	2.5514544146409948e-09	4.371701425086107e-09	0.06896424339573708	3.618092320761676e-08	2.5866276148428287e-09	6.594209337839508e-08	3.410361119569654e-06	3.486631220007314e-06	0.019817047113716037	7.068294240559948e-06	5.017033928789214e-07	2.008985311528148e-05	6.509487037353349e-06	2.500987514351401e-05	0.01180685106775118	2.2545780129374307e-05	1.858099710662322e-06	5.3678324308021996e-05	5.796159033260063e-06	7.394181242429984e-06	5.511809731628383e-06	0.0058586403336186	1.6814440096486196e-05	3.831246521984818e-05	8.123822946616881e-06	1.2000882068864587e-07	0.0013883588079668106	8.007393945948778e-07	4.109152323579523e-10	5.159205329605035e-13	1.237803707102881e-07	0.0015495865088919825	7.947810445606871e-12	1.1694555067106792e-05	2.2413726128616546e-10	6.022832534560782e-05	7.86221164511568e-10	0.0008973741651493965	2.0260096116258383e-06	1.6210903093022924e-09	0.0	0.0	0.0	0.37812619216979915	0.007506194343072748	0.00043077777247192944
0.0020618852975042845	0.0002456943918459829	0.0	0.009977418874963635	2.186410616427223e-19	0.2712512220379998	4.190928231487824e-08	5.457537541004277e-05	3.0474045228961535e-07	4.143321231130137e-09	1.9021191142912476e-07	0.22801301171313682	2.917751421922027e-09	2.645778619878606e-09	4.495597433776904e-09	0.07137231353624368	3.767193228304163e-08	2.6585142199742924e-09	6.884514651725625e-08	3.5278289265057405e-06	3.6455091273899107e-06	0.020753957155931313	7.233725454349362e-06	5.173643838871289e-07	2.0455121153686062e-05	6.774748350900915e-06	2.5966600195095618e-05	0.012176829091488525	2.29530341724537e-05	1.9217737144389186e-06	5.452572440966972e-05	5.884755744214108e-06	7.62113675726011e-06	5.5900229419996835e-06	0.0059766557449045824	1.6897062126953194e-05	3.8573257289813584e-05	8.107162660911782e-06	1.2416724093290936e-07	0.001412768910614598	8.240426561913039e-07	4.220469931709781e-10	5.375562140388369e-13	1.2899305096916726e-07	0.0015716658118084426	8.235486461875922e-12	1.1672489087699254e-05	2.312642317375643e-10	6.046298745427834e-05	8.098369260845715e-10	0.0008988428767533025	1.976036514846613e-06	1.638946812313947e-09	0.0	0.0	0.0	0.36826778276691713	0.007301648054859687	0.00041956676315234325
0.0030927592297465	0.00023135065053710006	0.0	0.009572435522223218	2.2689579052675774e-19	0.27981641064961743	3.9294017091224386e-08	5.255110112200182e-05	3.1284199072628904e-07	4.332365010057951e-09	1.9637922045591095e-07	0.23468439054483964	3.0009025069668487e-09	2.7752420064429584e-09	4.657504010812789e-09	0.07510012617435129	3.949335009168715e-08	2.7331882063453273e-09	7.235610216798081e-08	3.7003037085905677e-06	3.875810708998022e-06	0.022118782051350625	7.508166917430844e-06	5.434063312615636e-07	2.09677060486783e-05	7.19207941669702e-06	2.7466249063765215e-05	0.012693676029469442	2.3493785054542804e-05	2.022601904695641e-06	5.513416812799863e-05	5.995538513919149e-06	7.981793418530409e-06	5.667063513156567e-06	0.0061120962141897476	1.674132803886641e-05	3.8538917089471356e-05	8.020232318619648e-06	1.3344741030980944e-07	0.0014402937033437633	8.670594220129518e-07	4.48382121040957e-10	5.773554013403794e-13	1.3987720032473675e-07	0.001597256903708167	8.92903592072951e-12	1.150958302672047e-05	2.421851205622532e-10	6.0636800140773456e-05	8.403789019510106e-10	0.0009056379021025148	1.8681170043369914e-06	1.6794222038989206e-09	0.0	0.0	0.0	0.34808801080811574	0.0068808455159744646	0.00039545111091807323
0.004123694182249782	0.00020947692980453659	0.0	0.00879820059179038	2.4848344976813953e-19	0.29260904972696583	3.9547961963097705e-08	5.1440384952000854e-05	3.3800635968460545e-07	4.7268535955893625e-09	2.1121377980291594e-07	0.24501209977137867	3.2381451969784794e-09	2.9696756972289887e-09	4.993020995341001e-09	0.08028706792508396	4.325981595963416e-08	2.9548998972427764e-09	7.925010492605154e-08	4.0177793962510005e-06	4.234996096048315e-06	0.0239088469776906	7.829018692694725e-06	5.773930294612332e-07	2.1380757980049567e-05	7.751466892767089e-06	2.913922897281012e-05	0.013615153987295668	2.439948897723278e-05	2.13107399801149e-06	5.570963894801721e-05	6.172685594240253e-06	8.564982892007995e-06	5.797129094590686e-06	0.006449060093982367	1.6768506984353268e-05	3.819358896436148e-05	7.927763592602584e-06	1.4539572986433093e-07	0.0015092112985917515	9.390894891237334e-07	4.838257195485412e-10	6.335088594088714e-13	1.5449367985584162e-07	0.0016612504984498833	9.743387790908423e-12	1.1324884989432723e-05	2.6230237975524503e-10	6.132874094277401e-05	9.061018891545143e-10	0.0009226038391391163	1.6970502984164784e-06	1.7793470983396872e-09	0.0	0.0	0.0	0.31804448970323196	0.006247294394170635	0.0003578351196661033
0.0051546601553489335	0.00018700737068059055	0.0	0.008220848129918775	2.702980809837169e-19	0.30678171111649466	4.157300515129988e-08	5.081697518494219e-05	3.6660511133421466e-07	5.156355418765927e-09	2.2461883081747287e-07	0.2567507509344131	3.513346712786397e-09	3.0945439112622154e-09	5.286159619238333e-09	0.0842249973065266	4.641156716890925e-08	3.2051664116648126e-09	8.485497430881933e-08	4.294640615629821e-06	4.446234416181529e-06	0.024917287090683433	8.094058529457338e-06	6.035382121965037e-07	2.1543753078405862e-05	8.03207532923176e-06	3.0071325109440925e-05	0.01430009705204346	2.5093850091326012e-05	2.1858280079550546e-06	5.674679920652306e-05	6.359074623143077e-06	8.907579832418053e-06	5.907024221497895e-06	0.006814597024800895	1.6990121061833476e-05	3.87157351409012e-05	7.901481128756477e-06	1.502167605466956e-07	0.0015892903057840285	9.8475341358389e-07	5.027787418298021e-10	6.598945524016058e-13	1.6068675058479984e-07	0.001740064906332754	1.0119802036829787e-11	1.10063310400562e-05	2.758163510038e-10	6.216436422623962e-05	9.52565523466746e-10	0.0009487887434530011	1.5178073055238749e-06	1.857693406760849e-09	0.0	0.0	0.0	0.28723521104535754	0.00559736832037094	0.0003184984811591364
0.006185559218200631	0.000173673379718626	0.0	0.007968295387090301	2.7333692955715777e-19	0.31623391948765894	4.639872992482788e-08	5.169416091624858e-05	3.8366231937841597e-07	5.489065691106983e-09	2.314650996249957e-07	0.26566991956957936	3.722788593968587e-09	3.138893094914575e-09	5.453724591164241e-09	0.08443796486319925	4.777084792260486e-08	3.3460844945788976e-09	8.694111585914382e-08	4.456395692780046e-06	4.483807092735635e-06	0.024462056960368215	8.096488386882612e-06	6.044442790207198e-07	2.1930510964469654e-05	8.132017986825048e-06	2.9384418952393328e-05	0.014456175976579071	2.5436921958788802e-05	2.136740696538196e-06	5.757678690671795e-05	6.439508589567137e-06	8.977873685454647e-06	5.93496889038456e-06	0.007041188788592337	1.743287397175642e-05	3.922730393644654e-05	7.87740158723756e-06	1.4868589975910904e-07	0.0016434873973373313	1.01119479836173e-06	5.057411791806319e-10	6.72540988910394e-13	1.598866397409624e-07	0.0017976683970875379	1.0092662983648542e-11	1.0790034982518708e-05	2.8258568954217356e-10	6.295713389800106e-05	9.790391084138263e-10	0.000972323798424706	1.4118447977126236e-06	1.897211396926265e-09	0.0	0.0	0.0	0.2692533195637738	0.005217543491546885	0.00029534046952150913
0.007216429066719043	0.0001713826989811146	0.0	0.00806201925207058	2.6205741844204537e-19	0.31905559810318607	4.8387740712330574e-08	5.150539169379587e-05	3.8060347773727846e-07	5.415644367803514e-09	2.253654586601823e-07	0.26856629840334945	3.7248665778553372e-09	3.068566781757098e-09	5.364335868108547e-09	0.08351157250351628	4.7134254719782663e-08	3.3123180803079744e-09	8.557070749127456e-08	4.402499573826749e-06	4.344904174169159e-06	0.023835381858296537	8.0008729524341e-06	5.907873664877165e-07	2.167819787112119e-05	7.91076135296982e-06	2.8399121831164698e-05	0.01416985891575893	2.5182147850289897e-05	2.057332187768977e-06	5.726805665953631e-05	6.359468062192396e-06	8.708969748224402e-06	5.803093465500094e-06	0.007006003758348684	1.7390317896613016e-05	3.9313864766275584e-05	7.749947653925873e-06	1.4019776916651178e-07	0.0016413238902421839	9.75987424197668e-07	4.804908571434392e-10	6.353655262226955e-13	1.509254991027345e-07	0.0017989349893051717	9.50537334348971e-12	1.0619134936868299e-05	2.771915683520715e-10	6.261874162772602e-05	9.58487094301709e-10	0.0009704869642303686	1.3957253917022885e-06	1.871433088874164e-09	0.0	0.0	0.0	0.26540114842216656	0.0051451342694117195	0.0002914779782671375
0.008247412002979515	0.00016241199002562238	0.0	0.008296311401308841	2.538343800400454e-19	0.32606820005144116	4.758904700750773e-08	4.993893300787845e-05	3.782937400596803e-07	5.290999300834718e-09	2.188050400345191e-07	0.275168060043411	3.7102555005853368e-09	3.0804627004859793e-09	5.305375700836986e-09	0.08390069801323634	4.7080141007427444e-08	3.2987363005204147e-09	8.547169601348416e-08	4.365559100688718e-06	4.271221900673836e-06	0.02384422600376171	7.965855701256708e-06	5.830636300919851e-07	2.0603754003250484e-05	7.72120100121811e-06	2.807832800442969e-05	0.013906568002193927	2.458381800387839e-05	2.0197111003186334e-06	5.4645298008620943e-05	6.157123400971359e-06	8.486125901338788e-06	5.576350600879734e-06	0.006844390001079783	1.6588578002617043e-05	3.750833500591739e-05	7.480813601180186e-06	1.3603165002146057e-07	0.001603847300253026	9.359054801476501e-07	4.61435870072797e-10	6.089766600960732e-13	1.4560925002297158e-07	0.00175739600027725	9.145200001442763e-12	1.0210115001610767e-05	2.6834741004233495e-10	6.077502700958798e-05	9.253377401459829e-10	0.0009468858401493825	1.3275638002094388e-06	1.829759400288666e-09	0.0	0.0	0.0	0.2519882300397541	0.004875319900769139	0.000276549670043629
0.00927830313398259	0.00015317379886104016	0.0	0.008432799237295936	2.4476826817996794e-19	0.33328320752179424	4.730404264825966e-08	4.813348964209211e-05	3.7486047721263666e-07	5.117299161949118e-09	2.105522084343895e-07	0.28137590790776323	3.6846030726022665e-09	3.038405077407224e-09	5.175666261515115e-09	0.08481321836935136	4.694632865091953e-08	3.288349675548702e-09	8.519871336648492e-08	4.310035467951716e-06	4.16759176901089e-06	0.02395202382189909	7.96598404076705e-06	5.782037157006301e-07	1.971122885343252e-05	7.471569144443389e-06	2.7955859792127623e-05	0.0135884208989601	2.4030204821317755e-05	1.992177485186695e-06	5.262247660871319e-05	5.9762469555622095e-06	8.212590938933348e-06	5.375659760028016e-06	0.006649655550554921	1.5878398881932427e-05	3.622536573063777e-05	7.2493671460956246e-06	1.3099932902592365e-07	0.0015612212883911718	8.866194534073324e-07	4.3917730673439376e-10	5.791946056932622e-13	1.397586989607913e-07	0.0017127763872642483	8.735397135045899e-12	9.824055726950923e-06	2.61021258059115e-10	5.900385456126296e-05	8.918276333686058e-10	0.0009252245731202751	1.255739690662652e-06	1.787485086708734e-09	0.0	0.0	0.0	0.23834385822773813	0.004597925365811043	0.00026070101806149626
