q_m	xn_p,	xn_he3,	xn_he4,	xn_b11,	xn_c12,	xn_c13,	xn_n13,	xn_n14,	xn_n15,	xn_o15,	xn_o16,	xn_o17,	xn_f18,	xn_ne19,	xn_ne20,	xn_ne21,	xn_ne22,	xn_na22,	xn_na23,	xn_mg23,	xn_mg24,	xn_mg25,	xn_mg26,	xn_al25,	xn_al26,	xn_al27,	xn_si28,	xn_si29,	xn_si30,	xn_p29,	xn_p30,	xn_p31,	xn_s31,	xn_s32,	xn_s33,	xn_cl33,	xn_cl34,	xn_cl35,	xn_ar36,	xn_ar37,	xn_ar38,	xn_ar39,	xn_k39,	xn_ca40,	xn_sc43,	xn_ti44,	xn_v47,	xn_cr48,	xn_mn51,	xn_fe52,	xn_fe54,	xn_co55,	xn_fe56,	xn_co56,	xn_cr56,	xn_ni56,	xn_ni58,	xn_ni59
0.0	0.0005354633787589108	0.0	0.011449447973462635	1.209957897195577e-19	0.08582424780107781	2.317297794629001e-08	2.7191839936975147e-05	1.2533913970949077e-07	1.9140547955636313e-09	1.0534577975583108e-07	0.07435516682766068	1.2725287970505512e-09	7.017356083735274e-10	1.7442218959572677e-09	0.027430295936422457	1.8956195956063604e-08	1.1810053972626828e-09	3.4550480919919394e-08	1.6297867962225037e-06	2.0537225952399117e-06	0.010772309975032096	2.4578824943031552e-06	2.111587095105794e-07	1.2254717971596192e-05	3.933464690883073e-06	1.3150319969520378e-05	0.007614244482351814	1.28215049702825e-05	1.1315249973773676e-06	3.854751591065513e-05	4.111115190471317e-06	4.8617524887315e-06	4.473255689631952e-06	0.0035249873918298353	1.1685982972914398e-05	2.771695093575805e-05	7.075057583601533e-06	1.0766176975046312e-07	0.000832291878070926	5.966473886170993e-07	3.394903892131341e-10	3.7977887911975404e-13	1.1241385973944879e-07	0.0009561427277838663	7.472803482679645e-12	1.706533296044622e-05	1.7668090959049155e-10	5.668572986861464e-05	5.91390378629284e-10	0.0006347481585287899	4.091331790517171e-06	9.62119627770013e-10	0.0	0.0	0.0	0.7594365882397889	0.015503093964067153	0.0008766883379680245
0.0010001199179100473	0.0005385027563877671	0.0	0.011552191922508833	1.180594892080665e-19	0.08525623442810809	2.381923084022253e-08	2.8342100809883486e-05	1.263864291522101e-07	1.923648687096321e-09	1.0514410929470184e-07	0.07393394150405712	1.2695742914837985e-09	6.859077153989868e-10	1.7608361881884537e-09	0.02652550382206907	1.8318202877122983e-08	1.1795710920875327e-09	3.3494745775319966e-08	1.5953032892988349e-06	1.9814959867082856e-06	0.01024238393129492	2.3931339839470516e-06	2.0654245861452994e-07	1.2098581918843693e-05	3.858842474115197e-06	1.2633276915257003e-05	0.007386033950455083	1.2731405914598761e-05	1.0898150926896087e-06	3.807330574460736e-05	4.090321872562453e-06	4.709863568406617e-06	4.402345870469421e-06	0.003504431576492557	1.1841403920568824e-05	2.800986781211208e-05	7.10265895235594e-06	9.964839933156662e-08	0.0008333477944099705	5.84455626079519e-07	3.247596078215389e-10	3.6164900757408777e-13	1.0454874929869547e-07	0.0009628374035413648	6.9813757531694975e-12	1.7106984885247733e-05	1.7213303884534554e-10	5.704267261736238e-05	5.78416796120027e-10	0.0006406756357023998	4.133253372274472e-06	9.710686234861503e-10	0.0	0.0	0.0	0.7619117348891579	0.01557346189553448	0.0008841706240690551
0.002000103631083827	0.0005446625677563057	0.0	0.011641919952042033	1.1452573952822026e-19	0.08341663565637178	2.2604842906881138e-08	2.7781220885557458e-05	1.2300832949327693e-07	1.877546192265597e-09	1.0233893957842284e-07	0.07233177470203499	1.230583694930708e-09	6.601108272807257e-10	1.7091095929594584e-09	0.02558658589459809	1.7460025928074807e-08	1.1286103953507789e-09	3.188358686865809e-08	1.5391179936597253e-06	1.9027379921618216e-06	0.009766671859766969	2.4145497900534536e-06	2.00345889174691e-07	1.2346185949140866e-05	3.7595021845130284e-06	1.2121241950067504e-05	0.006998048971172091	1.2254698949517738e-05	1.0373141957268664e-06	3.746798984565358e-05	3.941621183762804e-06	4.499871581463136e-06	4.330632682160302e-06	0.0033057378863822744	1.1610424952171775e-05	2.7715559885827945e-05	7.058438570923322e-06	9.418777361200092e-08	0.000785463576764345	5.578833577018436e-07	3.07347348733907e-10	3.4468933858007956e-13	9.879402059302586e-08	0.000907186276262918	6.621849372721816e-12	1.6957680930144176e-05	1.6152395933461484e-10	5.515504577279316e-05	5.43078057762833e-10	0.0005996932675296111	4.172442182811955e-06	9.492731260895447e-10	0.0	0.0	0.0	0.7672440568393989	0.01572971893520267	0.0008925202563233335
0.00300012459488197	0.0005450511877440372	0.0	0.01172982795145033	1.1136828953904749e-19	0.08412228565181849	2.270984590600412e-08	2.8604496881606202e-05	1.2332840948954466e-07	1.856806192314693e-09	1.0060673958358946e-07	0.07318768469707672	1.227455494919571e-09	6.697756272278038e-10	1.70385909294774e-09	0.02495551089670933	1.7224214928709106e-08	1.1259666953396323e-09	3.147015186974528e-08	1.5177116937182027e-06	1.8591198923051168e-06	0.00939060666113235	2.3578328902409476e-06	1.9483409919358313e-07	1.2551065948051232e-05	3.7657469844136015e-06	1.152103795231451e-05	0.006735075772123573	1.2161877949662078e-05	9.797896759446578e-07	3.835484584124958e-05	3.989581483487152e-06	4.377515781881495e-06	4.474717581479177e-06	0.00321035858671235	1.19222009506541e-05	2.8909726880342857e-05	7.322426269692532e-06	8.77094126369714e-08	0.0007671399768248134	5.395846877666631e-07	2.879554788081544e-10	3.3197377862596303e-13	9.32505196140368e-08	0.0008914979563100966	6.0640853749007965e-12	1.6875174930153777e-05	1.589346893421705e-10	5.505892277211153e-05	5.359699377816244e-10	0.0006055077974938078	4.175288782718511e-06	8.756071463758686e-10	0.0	0.0	0.0	0.7669859668254508	0.015729203934896942	0.0008922838563068439
0.00400018501844146	0.0005456557384102256	0.0	0.011821258965558622	1.092186096817903e-19	0.08465111575336796	2.3482954931582133e-08	2.9618529913706062e-05	1.254761396344238e-07	1.9181230944115257e-09	1.0140131970456606e-07	0.07367570778534496	1.2426980963793844e-09	6.984068479651834e-10	1.7463991949118452e-09	0.024475409928690604	1.6946474950626245e-08	1.1377110966852651e-09	3.0919158909916665e-08	1.5209771955686148e-06	1.8093063947285643e-06	0.009069861473574851	2.4031679929983415e-06	1.9474014943262226e-07	1.3037026962016467e-05	3.7480427890800332e-06	1.1345091966945941e-05	0.0066147879807277364	1.2183875964502133e-05	9.72154917167615e-07	3.813004488890766e-05	3.9588072884659675e-06	4.325306587398168e-06	4.40263518717287e-06	0.003182072890728993	1.2050699964890142e-05	2.875824591621251e-05	7.282239578783109e-06	8.582124874995877e-08	0.00075931047778774	5.362469384376382e-07	2.863320491657682e-10	3.247487090538408e-13	9.081983573539533e-08	0.0008816039374314365	5.986914082557055e-12	1.6781892951105755e-05	1.5564678954652123e-10	5.459227784094475e-05	5.22008868479121e-10	0.0005991341582544155	4.176673187831213e-06	8.574300875018673e-10	0.0	0.0	0.0	0.7668399077658028	0.01573920895414363	0.0008926527673992456
0.005000200497485063	0.0005419746087774583	0.0	0.011897263973163132	1.0651546975973117e-19	0.08685128480408803	2.5005390943594898e-08	3.324293492501333e-05	1.2874830970958016e-07	1.9832762955262886e-09	1.0519899976270077e-07	0.07613210382826748	1.2741538971258685e-09	7.20486898374785e-10	1.8074664959228661e-09	0.02381229294628619	1.6893223961893658e-08	1.1459364974150908e-09	3.072741493068763e-08	1.5528235964972685e-06	1.8311952958693405e-06	0.008649914580488234	2.438799994498756e-06	1.937832995628796e-07	1.4185000968002644e-05	3.917490991163246e-06	1.0791571975657261e-05	0.006483822585374327	1.2351518972138461e-05	9.196402179255515e-07	4.007893090959325e-05	4.119408490707777e-06	4.345391090198025e-06	4.631938189551656e-06	0.0031775790928322786	1.263911297148973e-05	3.0483114931238703e-05	7.636112982775085e-06	8.049700881842148e-08	0.0007626571982796607	5.428826387754101e-07	2.7241865938550045e-10	3.245796892678399e-13	8.55518048070193e-08	0.0008911881379897312	5.651423487251984e-12	1.6674495962387045e-05	1.557307996487153e-10	5.507437887576775e-05	5.22528648821323e-10	0.0006189439386038373	4.1424526906557965e-06	8.650293380487381e-10	0.0	0.0	0.0	0.7633806582780288	0.015652138964693193	0.0008859027080016537
0.006000083275941037	0.0005382129281486508	0.0	0.012034466958603742	1.0852068962670964e-19	0.0895091436921057	2.5131222913553412e-08	3.520341787890699e-05	1.319501395461168e-07	1.9845145931736502e-09	1.0359126964366591e-07	0.07859520772964756	1.2906834955602963e-09	7.816437173112956e-10	1.8780631935398226e-09	0.02374173691833298	1.7004576941507518e-08	1.1753776959569263e-09	3.105555389317485e-08	1.5599439946340918e-06	1.8136375937614343e-06	0.008510728970724725	2.443079591596275e-06	1.9365124933387685e-07	1.4116886951440616e-05	3.889179986621967e-06	1.0645827963380395e-05	0.006358041478129557	1.2398698957350852e-05	9.048450868875064e-07	3.957953786385398e-05	4.032197786130012e-06	4.249368085382989e-06	4.532701484408376e-06	0.0031606729891278914	1.2133343958263624e-05	3.000511089678817e-05	7.527069274108326e-06	7.761395673302288e-08	0.0007658765173655316	5.210884082075557e-07	2.6309334909500935e-10	3.040357589541753e-13	8.237664571664013e-08	0.0009028291868944407	5.4011312814211446e-12	1.644116294344555e-05	1.4610942949741157e-10	5.52139498100746e-05	4.893141583168531e-10	0.0006357054178132953	4.119412285830012e-06	7.989863872516401e-10	0.0	0.0	0.0	0.7585595973907004	0.015544907946528498	0.0008808702269699753
0.007000216981914664	0.0005293990604002181	0.0	0.012140452009178007	1.0411188007870708e-19	0.0947942760716631	2.7343056020670956e-08	3.7670291028478196e-05	1.357992601026623e-07	2.0695243015645305e-09	1.0809192008171594e-07	0.08353948006315465	1.3327724010075567e-09	8.441077406381333e-10	1.991881801505834e-09	0.02373951201794673	1.715761401297091e-08	1.1985609009060948e-09	3.1230625023609905e-08	1.6069901012148614e-06	1.83893720139021e-06	0.008215277706210632	2.5921708019596436e-06	1.9747315014928686e-07	1.5111851011424341e-05	3.980683703009339e-06	1.0445336007896524e-05	0.006459005404882915	1.2938546009781356e-05	8.979588006788439e-07	4.1610339031456815e-05	4.228611103196769e-06	4.362480403297973e-06	4.616509803490014e-06	0.0033136592025050787	1.2918406009766129e-05	3.200035502419181e-05	7.675911605802879e-06	7.648298105782003e-08	0.0008059520306092881	5.48531660414682e-07	2.6778566020244213e-10	3.1900151024116056e-13	8.111500806132178e-08	0.0009506831907187028	5.330944404030117e-12	1.6385848012387463e-05	1.5515492011729488e-10	5.652800304273436e-05	5.235675603958095e-10	0.0006684514805053396	4.038772703053254e-06	8.885351506717198e-10	0.0	0.0	0.0	0.7483963005657769	0.015310405011574445	0.0008644656806535236
0.008000112329599629	0.0005235492911139268	0.0	0.012290914026150694	9.87972852102055e-20	0.09882846821027184	2.9189171062104177e-08	4.2410342090234126e-05	1.3551637028833065e-07	2.060464004383935e-09	1.0839819023063281e-07	0.08748265118613197	1.3361638028428815e-09	9.1546785194779e-10	2.075087004415047e-09	0.023381479049747474	1.6823695035794842e-08	1.1947980025421053e-09	3.0578842065060906e-08	1.5995976034033749e-06	1.8026708038354426e-06	0.007899333616806973	2.6564071056518896e-06	1.9561247041619377e-07	1.6301027034682786e-05	3.991146608491741e-06	1.017869802165665e-05	0.006362854513537892	1.3210903028108105e-05	8.759593818637301e-07	4.445601109458658e-05	4.3529394092615074e-06	4.329997009212694e-06	4.747656310101324e-06	0.003336628507099159	1.3427330028568583e-05	3.4165576072692196e-05	7.932234416876973e-06	7.469024615891428e-08	0.0008156234517353566	5.309260911296218e-07	2.6129105055593445e-10	3.0560994065022927e-13	7.763265316517468e-08	0.0009640301320511133	5.0982481108472585e-12	1.6117135034291534e-05	1.467545503122415e-10	5.641460012003021e-05	5.019493410679696e-10	0.0006758120014378876	4.00065950851198e-06	8.571692718237514e-10	0.0	0.0	0.0	0.7411414915768855	0.015156717032248104	0.0008562677918218333
0.009000147462346786	0.0005092299866534158	0.0	0.012353166918816813	1.0623106930186512e-19	0.10684966929779977	3.208310578915457e-08	4.754279368755579e-05	1.4591732904105288e-07	2.2557351851756417e-09	1.1738668922855204e-07	0.09491670437622145	1.4398457905375464e-09	1.0448435931334424e-09	2.3486482845650307e-09	0.02414049884135221	1.7675874883836762e-08	1.2865941915446933e-09	3.216176778863762e-08	1.7239117886707064e-06	1.91755378739812e-06	0.007937062547838797	2.8575039812209063e-06	2.0838710863051073e-07	1.7798109883033453e-05	4.29332397178491e-06	1.0429423931459367e-05	0.006798345355322279	1.4231157906474934e-05	9.141934039920561e-07	4.8139472683634504e-05	4.6543405694123625e-06	4.605892069730758e-06	4.937587467550905e-06	0.003667689475896487	1.4494033904747352e-05	3.6671124759002786e-05	8.090002946833697e-06	7.701678549385708e-08	0.0008953874841156458	5.688018162619186e-07	2.7620991818478924e-10	3.183807779076486e-13	7.901237448074236e-08	0.0010513468930907037	5.16121466608126e-12	1.606518689442197e-05	1.5680626896949237e-10	5.828130661698387e-05	5.452980964163815e-10	0.0007176377952837905	3.896693874391504e-06	9.334214938656918e-10	0.0	0.0	0.0	0.7242466852403578	0.014779208902873224	0.0008345345345155624
