q_m	density,	T,
0.0	47112.268	35403275.0
0.0010341769815572777	49072.388	35588110.0
0.0020682585866159675	52219.639	35852129.0
0.003102414348402527	55324.867999999995	35679762.0
0.0041365824821407715	57535.084	35883687.0
0.005170631470236109	60695.377	35949011.0
0.006204867012365001	63118.648	36169202.0
0.007238936770342819	66839.37299999999	36013154.0
0.008273118850644523	68338.115	36339230.0
0.00930714616907935	72805.212	36559344.0
0.010341369939108946	74620.19099999999	36197956.0
0.01137552660067398	77261.228	36514812.0
0.012409517703032336	79674.417	36443229.0
0.01344367189020701	83452.19099999999	36783213.0
0.014477776814519894	86913.163	37108374.0
0.015511910456756706	88086.94099999999	37037800.0
0.016546095611301048	93029.615	37123509.0
0.017580178341082497	95135.204	37331190.0
0.018614262795439096	97921.495	37377796.0
0.01964841413331564	99892.213	37279831.0
0.02068253270426612	101645.96	37703522.0
0.021716679768196023	106617.85	37830885.0
0.02275079106593847	109378.02	37729631.0
0.0237849223087665	113010.9	37738331.0
0.02481910843807067	114178.63	37891198.0
0.02585317849597457	117780.37	38015856.0
0.026887350603733706	120279.68	38103485.0
0.02792140229116402	122272.26	37984150.0
0.028955626661045786	127636.05	38485762.0
0.029989696194078985	128350.91	38151012.0
0.031023842358230524	131390.44	38374326.0
0.03205800726776331	135848.16	38465293.0
0.03309210041997679	135650.33	38664481.0
0.03412615780600303	141470.1	38299723.0
0.03516033546239494	144859.56	38591157.0
0.03619443768737285	144362.37	38889037.0
0.0372285670556628	146344.13	38646418.0
0.038262685851557676	152617.7	39010310.0
0.03929681154575293	152934.4	38666972.0
0.04033096295861105	158958.53	39294022.0
0.04136510417398187	160653.61	39116828.0
0.0423992495883182	163258.68	38833145.0
0.0434333494888689	165326.89	39583121.0
0.04446745681259057	170296.64	39420183.0
0.04550165456403121	167742.44	39379160.0
0.046535774634612004	171628.55	39536781.0
0.0475698457422572	177342.19	39719150.0
0.04860395659011052	180080.36	39826303.0
0.04963811047735911	184781.96	39940747.0
