q_m	density,	T,
0.0	38.330505	73588359.0
0.0010341332777422663	44.711451000000004	79078293.0
0.002068297672317976	56.621801	87271700.0
0.0031023949490667224	72.552162	95122841.0
0.0041364629208489045	87.85303499999999	100622760.0
0.005170644331211616	100.49457	104468190.0
0.006204733651504424	112.82363000000001	107640080.0
0.007238911753241761	126.89588	111076040.0
0.008272986736158394	144.67696999999998	115178380.0
0.009307193906532119	166.24942	120033250.0
0.010341315052648903	192.75538	126195100.0
0.01137535348313401	231.8315	134428610.0
0.012409506218744482	296.09289	144902830.0
0.01344360578002013	387.91701	157373440.0
0.014477779312703665	497.90717	169435840.0
0.015511899671052487	633.3404099999999	179989530.0
0.016545995451042184	795.66701	189336090.0
0.017580100999354253	999.82395	197108930.0
0.01861430328556668	1212.2673	204521320.0
0.01964832682723827	1481.4525	210740880.0
0.020682544790032398	1812.4617	215212500.0
0.021716626311422904	2221.7805	216345160.0
0.022750719176671264	2772.9240000000004	213426210.0
0.02378492886790229	3415.0919	208733500.0
0.02481901629755212	4159.8465	202746610.0
0.025853152332482643	5041.5939	198136720.0
0.026887368168303283	5862.1532	193478290.0
0.02792132853098761	6935.7172	189105240.0
0.02895554609989781	7971.7229	184691180.0
0.029989577676801993	9002.8539	180669120.0
0.03102377043102278	10330.782	177560910.0
0.032057960191725354	11312.296999999999	174405270.0
0.033092011147720424	12656.36	171974870.0
0.03412621808176364	13883.207	170420760.0
0.03516029298590351	14930.123	168710330.0
0.03619438143965159	16638.2	166353910.0
0.03722849722894661	17581.345	164944090.0
0.0382626980184001	19187.828999999998	163386330.0
0.03929679734334546	20600.234	160940450.0
0.04033094614011623	21806.467	159318190.0
0.0413649833101728	23300.275	157782630.0
0.04239920347871706	25064.495	155898170.0
0.04343333691401341	26518.906000000003	154889880.0
0.04446751407042937	27765.627	153475670.0
0.045501615522348215	28965.37	151853080.0
0.04653573485659879	30615.867000000002	150776500.0
0.047569917212282986	32341.394	150388920.0
0.04860395855750943	33984.518	149781400.0
0.049638098373726014	35570.877	148597200.0
0.050672212508708236	36137.171	148185590.0
0.05170626251938193	38401.382000000005	147304030.0
0.052740410922268666	39432.312000000005	147088070.0
0.053774490789346485	41377.126000000004	146149350.0
0.05480867495689701	43054.344000000005	145769850.0
0.05584285597337568	44418.626	145616010.0
0.05687690196643291	45222.018	144878590.0
0.057910990892841796	47639.72	144356870.0
0.05894517379996356	48412.846	144165070.0
0.059979256109121915	50314.624	144180910.0
0.061013405614883776	51680.389	143344220.0
0.062047493438417534	54442.03400000001	142979830.0
0.06308171045589017	53637.515999999996	142860870.0
0.06411578788088745	56645.585999999996	142285850.0
0.06514994904561466	58946.63	142277430.0
0.0661840122907893	58851.067	141805600.0
0.06721825719524643	60349.482	141364240.0
0.06825236250722799	62176.231	141329940.0
0.06928643370885867	63957.780999999995	141258980.0
0.07032069499888849	66586.562	140650770.0
0.07135464362383082	68051.576	140534670.0
0.07238880305546846	68486.681	140367060.0
0.07342290616169989	68491.709	140129410.0
0.07445712656657466	73275.433	139123290.0
0.07549120517322372	73500.035	139395310.0
0.07652530946110703	73245.685	139419920.0
0.07755938601955947	77503.723	138908350.0
0.07859353662819646	78189.55099999999	138910900.0
0.07962775333056205	79380.29	138656580.0
0.08066181531530803	82590.637	138103720.0
0.08169598616958063	81710.339	137903260.0
0.08273008998480313	84164.198	137636160.0
0.08376420348957103	85139.692	137658860.0
0.08479833739752807	89273.756	137853010.0
0.08583246642132403	88204.972	136945750.0
0.08686659552389686	91329.425	136734620.0
0.08790068397764494	89658.33099999999	136851360.0
0.08893479259825177	95408.59800000001	136916810.0
0.08996899141828552	95950.555	136697220.0
0.0910030416652895	97104.744	136383750.0
0.09203716304773657	98202.43800000001	136088350.0
0.09307140803097047	99718.134	136006360.0
0.09410553335225724	103828.74	135933700.0
0.09513966938718765	102098.28	135891750.0
0.09617365653398124	102977.21	135614420.0
0.09720787764784711	108454.39	135617010.0
0.09824195026746008	107709.49	135174850.0
0.09927615160835124	111206.07	135132530.0
0.1003101887784077	109502.1	135003400.0
0.10134431520256948	110349.43	134994340.0
0.10237843107064126	117087.81	134446050.0
0.10341264588236365	118187.41	134788330.0
0.10444679523057199	116728.67	134417900.0
0.10548085682143404	120361.24	134497320.0
0.10651496221219237	119996.91	134255910.0
0.10754917450305757	121516.26	134083880.0
0.1085831792958526	124554.63	134173930.0
0.10961737386193948	127913.97	133555420.0
0.11065144372436475	128065.78	133586130.0
0.11168555116331969	126494.34	133427720.0
0.11271977487681961	130123.78	133422470.0
0.11375380432675053	133555.97	133141370.0
0.1147880843656568	132527.18	132904840.0
0.11582209490915762	137215.25	133308520.0
0.11685634926682964	137218.68	132781310.0
0.11789042188644261	137796.86	132951160.0
0.11892448426507252	141245.95	132594400.0
0.11995858004506221	140882.06	132241890.0
0.12099269969441995	144227.92	132318550.0
0.12202685116960166	147480.95	132156670.0
0.12306105652810917	145905.03	132142650.0
0.1240950751068427	148428.8	132068310.0
0.12512920460329957	150074.38	131884270.0
0.12616343895166637	150580.26	131333940.0
0.12719752630253944	153747.37	131781860.0
0.12823165477489795	155266.23	131810310.0
0.12926569667156196	155391.47	131410240.0
0.13029991715521339	159369.25	131298700.0
0.13133394928355524	161266.96	131087020.0
0.13236816480426883	164675.18	131272070.0
0.1334022360058995	160852.74	131056460.0
0.13443643482593326	161216.26	131058930.0
0.13547057440581944	167306.04	130600050.0
0.13650465380023635	169178.73	130698260.0
0.13753875210108346	169044.85	130698080.0
0.13857290924819432	171987.44	130575770.0
