q_m	density,	T,
0.0	44.711451000000004	79078293.0
0.0010363076890653317	56.621801	87271700.0
0.0020725481212033863	72.552162	95122841.0
0.0031087591876405307	87.85303499999999	100622760.0
0.004145083927758445	100.49457	104468190.0
0.005181316386950701	112.82363000000001	107640080.0
0.006217637811586215	126.89588	111076040.0
0.007253855903688217	144.67696999999998	115178380.0
0.008290206457204517	166.24942	120033250.0
0.009326470808179523	192.75538	126195100.0
0.010362652272095521	231.8315	134428610.0
0.011398948278033042	296.09289	144902830.0
0.0124351909994327	387.91701	157373440.0
0.013471507845544895	497.90717	169435840.0
0.01450777140711934	633.3404099999999	179989530.0
0.015544010339396239	795.66701	189336090.0
0.01658025906024007	999.82395	197108930.0
0.01761660471947274	1212.2673	204521320.0
0.018652771263718382	1481.4525	210740880.0
0.019689132632022297	1812.4617	215212500.0
0.020725357276149024	2221.7805	216345160.0
0.021761593287643915	2772.9240000000004	213426210.0
0.02279794636724194	3415.0919	208733500.0
0.023834176931872876	4159.8465	202746610.0
0.02487045620251846	5041.5939	198136720.0
0.025906815439440817	5862.1532	193478290.0
0.02694291867376132	6935.7172	189105240.0
0.02797927964736485	7971.7229	184691180.0
0.029015454243496143	9002.8539	180669120.0
0.030051790350982002	10330.782	177560910.0
0.031088123458745773	11312.296999999999	174405270.0
0.03212431747413078	12656.36	171974870.0
0.033160667790826846	13883.207	170420760.0
0.03419688580398888	14930.123	168710330.0
0.035233117394840606	16638.2	166353910.0
0.03626937637789184	17581.345	164944090.0
0.03730572053726347	19187.828999999998	163386330.0
0.03834196302184289	20600.234	160940450.0
0.03937825508077761	21806.467	159318190.0
0.0404144352816528	23300.275	157782630.0
0.04145079886027824	25064.495	155898170.0
0.042487075525901905	26518.906000000003	154889880.0
0.04352339600325682	27765.627	153475670.0
0.0445596406192178	28965.37	151853080.0
0.045595903154571446	30615.867000000002	150776500.0
0.046632228841970075	32341.394	150388920.0
0.04766841322666831	33984.518	149781400.0
0.04870469628643665	35570.877	148597200.0
0.049740953611746574	36137.171	148185590.0
0.050777146679850976	38401.382000000005	147304030.0
0.0518134383440853	39432.312000000005	147088070.0
0.052849661330470935	41377.126000000004	146149350.0
0.053885988833490814	43054.344000000005	145769850.0
0.054922313178908444	44418.626	145616010.0
0.05595850222106996	45222.018	144878590.0
0.05699473428556205	47639.72	144356870.0
0.05803106052554101	48412.846	144165070.0
0.059067285959068405	50314.624	144180910.0
0.0601035787284636	51680.389	143344220.0
0.06113980968779482	54442.03400000001	142979830.0
0.06217617010881801	53637.515999999996	142860870.0
0.06321239064806189	56645.585999999996	142285850.0
0.06424869510058545	58946.63	142277430.0
0.06528490143061924	58851.067	141805600.0
0.06632128979642227	60349.482	141364240.0
0.06735753828044609	62176.231	141329940.0
0.06839375258342556	63957.780999999995	141258980.0
0.06943015736876032	66586.562	140650770.0
0.07046624884101249	68051.576	140534670.0
0.07150255155685467	68486.681	140367060.0
0.07253879783055685	68491.709	140129410.0
0.07357516164600253	73275.433	139123290.0
0.07461138336934713	73500.035	139395310.0
0.07564763082715016	73245.685	139419920.0
0.07668385049805339	77503.723	138908350.0
0.07772014437260935	78189.55099999999	138910900.0
0.07875650447787236	79380.29	138656580.0
0.07979270954486521	82590.637	138103720.0
0.08082902370701563	81710.339	137903260.0
0.0818652706911783	84164.198	137636160.0
0.0829015273849677	85139.692	137658860.0
0.08393780452423173	89273.756	137853010.0
0.08497407676921234	88204.972	136945750.0
0.08601034909313304	91329.425	136734620.0
0.08704658068398477	89658.33099999999	136851360.0
0.08808283248349076	95408.59800000001	136916810.0
0.08911917466936098	95950.555	136697220.0
0.09015536797428562	97104.744	136383750.0
0.09119163256208064	98202.43800000001	136088350.0
0.09222802100682374	99718.134	136006360.0
0.09326428954162179	103828.74	135933700.0
0.09430056881226738	102098.28	135891750.0
0.09533669888620695	102977.21	135614420.0
0.09637306341211312	108454.39	135617010.0
0.09740927913601366	107709.49	135174850.0
0.09844562384796572	111206.07	135132530.0
0.09948180404884091	109502.1	135003400.0
0.1005180736887996	110349.43	134994340.0
0.1015543327507908	117087.81	134446050.0
0.10259069096149248	118187.41	134788330.0
0.10362698357300752	116728.67	134417900.0
0.1046631882453001	120361.24	134497320.0
0.10569943680826388	119996.91	134255910.0
0.10673579249288372	121516.26	134083880.0
0.10777194024939594	124554.63	134173930.0
0.10880827817250316	127913.97	133555420.0
0.10984449113350163	128065.78	133586130.0
